;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ncf: Number of failed test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nus: Number of successful test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ncs: Number of successful test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nus: number of successful test cases that do not cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nc: total number of test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nu:total number of test cases that do not cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ns: total number of successful test cases
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nf: total number of failed test cases

OCL2;SrcCPL.allInstances()->size() = TrgService.allInstances()->select(s|s.name='unnamed')->size()

Rules;TC1;TC2;TC3;TC4;TC5;TC6;TC7;TC8;TC9;TC10;TC11;TC12;TC13;TC14;TC15;TC16;TC17;TC18;TC19;TC20;TC21;TC22;TC23;TC24;TC25;TC26;TC27;TC28;TC29;TC30;TC31;TC32;TC33;TC34;TC35;TC36;TC37;TC38;TC39;TC40;TC41;TC42;TC43;TC44;TC45;TC46;TC47;TC48;TC49;TC50;TC51;TC52;TC53;TC54;TC55;TC56;TC57;TC58;TC59;TC60;TC61;TC62;TC63;TC64;Ncf;Nuf;Ncs;Nus;Nc;Nu;Ns;Nf;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula;
Redirection2SelectCase;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;;;;X;;;28.0;30.0;1.0;5.0;29.0;35.0;6.0;58.0;0.0998185117967332;0.4827586206896552;0.515625;0.7241379310344828;0.9655172413793104;0.16140865737344093;0.0603448275862069;0.0025990213888852057;0.682723788731839;0.18508449659368734;27.857142857142858;0.4375;0.5623456888812259;0.759825327510917;0.23552245788691614;0.3473684210526316;25.29032258064516;0.743362831858407;
SubCall2Return;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;58.0;0.0;6.0;0.0;64.0;6.0;58.0;0.0;0.0;0.09375;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.04918032786885246;0.0;0.0;
Busy2SelectCase;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;58.0;0.0;6.0;0.0;64.0;6.0;58.0;0.0;0.0;0.09375;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.04918032786885246;0.0;0.0;
SubAction2Function;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;58.0;0.0;6.0;0.0;64.0;6.0;58.0;0.0;0.0;0.09375;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.04918032786885246;0.0;0.0;
Redirect2Return;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;;;;X;;;28.0;30.0;1.0;5.0;29.0;35.0;6.0;58.0;0.0998185117967332;0.4827586206896552;0.515625;0.7241379310344828;0.9655172413793104;0.16140865737344093;0.0603448275862069;0.0025990213888852057;0.682723788731839;0.18508449659368734;27.857142857142858;0.4375;0.5623456888812259;0.759825327510917;0.23552245788691614;0.3473684210526316;25.29032258064516;0.743362831858407;
StringSwitch2SelectStat;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;58.0;0.0;6.0;0.0;64.0;6.0;58.0;0.0;0.0;0.09375;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.04918032786885246;0.0;0.0;
NoAnswer2SelectCase;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;58.0;0.0;6.0;0.0;64.0;6.0;58.0;0.0;0.0;0.09375;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.04918032786885246;0.0;0.0;
CPL2Program;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;;;;;;;58.0;0.0;0.0;6.0;58.0;6.0;6.0;58.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;58.0;0.90625;1.0;0.0;0.9997127262280953;1.0;1.0;1.0;
Outgoing2Method;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;;;;;;;24.0;34.0;0.0;6.0;24.0;40.0;6.0;58.0;0.11688311688311688;0.41379310344827586;0.46875;0.7068965517241379;1.0;0.22018348623853212;0.058823529411764705;0.41379310344827586;0.6432675209026768;0.24913643956121992;24.0;0.375;0.5142857142857142;0.6666666666666666;0.2490933435690427;0.30612244897959184;16.941176470588236;1.0;
Proxy2Select;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;;;;X;;;28.0;30.0;1.0;5.0;29.0;35.0;6.0;58.0;0.0998185117967332;0.4827586206896552;0.515625;0.7241379310344828;0.9655172413793104;0.16140865737344093;0.0603448275862069;0.0025990213888852057;0.682723788731839;0.18508449659368734;27.857142857142858;0.4375;0.5623456888812259;0.759825327510917;0.23552245788691614;0.3473684210526316;25.29032258064516;0.743362831858407;
Failure2ErrorResponse;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;58.0;0.0;6.0;0.0;64.0;6.0;58.0;0.0;0.0;0.09375;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.04918032786885246;0.0;0.0;
AddressSwitch2SelectStat;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;58.0;0.0;6.0;0.0;64.0;6.0;58.0;0.0;0.0;0.09375;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.04918032786885246;0.0;0.0;
Proxy2Return;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;;;;X;;;28.0;30.0;1.0;5.0;29.0;35.0;6.0;58.0;0.0998185117967332;0.4827586206896552;0.515625;0.7241379310344828;0.9655172413793104;0.16140865737344093;0.0603448275862069;0.0025990213888852057;0.682723788731839;0.18508449659368734;27.857142857142858;0.4375;0.5623456888812259;0.759825327510917;0.23552245788691614;0.3473684210526316;25.29032258064516;0.743362831858407;
Default2SelectDefault;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;58.0;0.0;6.0;0.0;64.0;6.0;58.0;0.0;0.0;0.09375;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.04918032786885246;0.0;0.0;
SwitchedAddress2SelectCase;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;58.0;0.0;6.0;0.0;64.0;6.0;58.0;0.0;0.0;0.09375;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.04918032786885246;0.0;0.0;
NotPresent2ErrorResponse;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;;;;;;;26.0;32.0;0.0;6.0;26.0;38.0;6.0;58.0;0.13220338983050847;0.4482758620689655;0.5;0.7241379310344828;1.0;0.23353293413173654;0.0625;0.4482758620689655;0.6695340634119862;0.26604585934392433;26.0;0.40625;0.5460348727860029;0.6842105263157895;0.2660004950296384;0.3333333333333333;21.125;1.0;
Location2URIConstant;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;58.0;0.0;6.0;0.0;64.0;6.0;58.0;0.0;0.0;0.09375;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.04918032786885246;0.0;0.0;
Otherwise2SelectDefault;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;;;;;;;26.0;32.0;0.0;6.0;26.0;38.0;6.0;58.0;0.13220338983050847;0.4482758620689655;0.5;0.7241379310344828;1.0;0.23353293413173654;0.0625;0.4482758620689655;0.6695340634119862;0.26604585934392433;26.0;0.40625;0.5460348727860029;0.6842105263157895;0.2660004950296384;0.3333333333333333;21.125;1.0;
Incoming2Method;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;58.0;0.0;6.0;0.0;64.0;6.0;58.0;0.0;0.0;0.09375;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.04918032786885246;0.0;0.0;
;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Pass;Pass;Pass;Pass;Pass;Pass;